Food,Mass,Calories,Protein,Fiber,Fat
Wheat gluten,0.2071928043,347.6695256,70.65274626,0.5594205716,1.740419556
Oats,0.2117121104,364.356542,12.70272663,9.738757079,6.351363313
Potatoes,1.318959071,346.8862357,15.82750885,14.50854978,0.6594795356
Beans,0.07491416058,115.8922064,7.341587737,5.243991241,0.4794506277
Chickpeas,0.09062515045,155.422133,8.428138992,4.984383275,2.446879062
Lentils,0.06444352288,102.916306,7.217674563,3.157732621,0.3093289098
Almonds,0.02351918319,64.74831132,2.163764853,1.128920793,5.762199881
Walnuts,0.04079108334,120.9863532,2.814584751,1.2237325,12.07416067
Soy milk,0.1005956028,19.61614255,1.207147234,0.09053604254,0.6739905389
Asparagus,0.1760656993,16.02197863,1.760656993,1.672624143,0.08803284963
Spinach,1.296374156,134.8229122,16.85286402,12.96374156,2.33347348
Tomatoes,1.768884362,145.0485177,7.075537447,9.551975554,1.591995926
Pumpkins,1.126610873,132.940083,5.06974893,2.591205009,0.5633054366
Bananas,0.4791661436,193.583122,2.347914104,5.749993723,0.7187492154
Oranges,0.675966524,143.9808696,2.906656053,7.435631764,0.337983262
Apples,0.4605124738,108.6809438,0.5526149685,5.065637211,0.368409979
Cherries,0.2359982877,67.49551027,1.132791781,2.241983733,0.2123984589
Peaches,0.4159793994,79.45206528,1.705515537,2.828659916,0.4991752792
Strawberries,1.090896984,153.8164747,3.163601253,8.945355268,1.090896984
Blueberries,0.4479778147,116.026254,1.52312457,4.927755962,0.6719667221
Watermelons,1.610813844,219.0706828,4.510278764,2.89946492,1.127569691
Figs,0.1129973891,37.96712273,0.3841911229,1.468966058,0.1581963447
Mangoes,0.2103006963,57.20178941,0.7781125765,1.535195083,0.3575111838
Avocados,0.1910859432,138.7283947,1.738882083,5.732578295,12.61167225
Dates,0.1662456098,212.6281349,1.828701707,5.984841951,0.2992420976
Chocolate,0.02201333179,59.70015581,0.7704666126,1.078653258,4.248573035
Beef,0.02455668203,22.05190046,2.160988018,0,1.424287557
Sheep meat,0.04319767813,35.85407285,2.548663009,0.06047674938,2.159883906
Pig meat,0.06321664219,75.41745413,4.867681449,0,6.06879765
Chicken meat,0.08752398923,56.80306901,6.914395149,0,3.238387602
Egg,0.1159391282,165.2132576,75.24449417,0,4.985382511
Milk,0.3711188759,100.9443342,5.566783139,0,5.566783139
Butter,0.06816878326,221.6848832,0.2658582547,0,25.08611224