Food Product,Water Footprint (weighted global average),Water footprint (as % of total),Water Footprint (weighted global average),Mass of Food Produced per 10 gal water,Mass of Food Produced per 50 gal water,Mass of Food Produced per 100 gal water,Mass of Food Produced per 500 gal water,Nutritional Content - Calories,Nutritional Content - Protein,Nutritional Content - Fiber,Nutritional Content - Fat,Calories in the Food Produced by 10 gal water,Calories in the Food Produced by 50 gal water,Calories in the Food Produced by 100 gal water,Calories in the Food Produced by 500 gal water,Protein in the Food Produced by 50 gal water,Fiber in the Food Produced by 50 gal water,Fat in the Food Produced by 50 gal water,"People with drinking water for a day, using the gallons of water to produce 1lb of food"
,m^3 water / 1 ton of food,,gal water / 1 lb of food,lbs food /10 gal water,lbs/50 gal,lbs/100 gal,lbs/500 gal,cal/1 lb,g protein/1 lb,g fiber/1 lb,g fat/1 lb,cal/10gal,cal/50gal,cal/100 gal,cal/500 gal,g/50gal,g/50gal,g/50gal,number of people
Wheat gluten,1827,1.425317127,241.321122,0.04143856086,0.2071928043,0.4143856086,2.071928043,1678,341,2.7,8.4,69.53390512,347.6695256,695.3390512,3476.695256,70.65274626,0.5594205716,1.740419556,482.642244
Oats,1788,1.394891638,236.169768,0.04234242208,0.2117121104,0.4234242208,2.117121104,1721,60,46,30,72.87130841,364.356542,728.7130841,3643.56542,12.70272663,9.738757079,6.351363313,472.339536
Potatoes,287,0.2239003916,37.908682,0.2637918142,1.318959071,2.637918142,13.18959071,263,12,11,0.5,69.37724714,346.8862357,693.7724714,3468.862357,15.82750885,14.50854978,0.6594795356,75.817364
"Beans,dry",5053,3.942051146,667.430558,0.01498283212,0.07491416058,0.1498283212,0.7491416058,1547,98,70,6.4,23.17844128,115.8922064,231.7844128,1158.922064,7.341587737,5.243991241,0.4794506277,1334.861116
Chickpeas,4177,3.25864786,551.723222,0.01812503009,0.09062515045,0.1812503009,0.9062515045,1715,93,55,27,31.0844266,155.422133,310.844266,1554.22133,8.428138992,4.984383275,2.446879062,1103.446444
Lentils,5874,4.582546691,775.873164,0.01288870458,0.06444352288,0.1288870458,0.6444352288,1597,112,49,4.8,20.58326121,102.916306,205.8326121,1029.16306,7.217674563,3.157732621,0.3093289098,1551.746328
Almonds,16095,12.55636517,2125.92417,0.004703836638,0.02351918319,0.04703836638,0.2351918319,2753,92,48,245,12.94966226,64.74831132,129.4966226,647.4831132,2.163764853,1.128920793,5.762199881,4251.84834
Walnuts,9280,7.239706043,1225.75808,0.008158216669,0.04079108334,0.08158216669,0.4079108334,2966,69,30,296,24.19727064,120.9863532,241.9727064,1209.863532,2.814584751,1.2237325,12.07416067,2451.51616
Soy milk,3763,2.935669595,497.039618,0.02011912056,0.1005956028,0.2011912056,1.005956028,195,12,0.9,6.7,3.92322851,19.61614255,39.2322851,196.1614255,1.207147234,0.09053604254,0.6739905389,994.079236
Asparagus,2150,1.677302585,283.9849,0.03521313985,0.1760656993,0.3521313985,1.760656993,91,10,9.5,0.5,3.204395727,16.02197863,32.04395727,160.2197863,1.760656993,1.672624143,0.08803284963,567.9698
Spinach,292,0.2278010953,38.569112,0.2592748311,1.296374156,2.592748311,12.96374156,104,13,10,1.8,26.96458244,134.8229122,269.6458244,1348.229122,16.85286402,12.96374156,2.33347348,77.138224
Tomatoes,214,0.1669501178,28.266404,0.3537768724,1.768884362,3.537768724,17.68884362,82,4,5.4,0.9,29.00970353,145.0485177,290.0970353,1450.485177,7.075537447,9.551975554,1.591995926,56.532808
Pumpkins,336,0.2621272878,44.380896,0.2253221747,1.126610873,2.253221747,11.26610873,118,4.5,2.3,0.5,26.58801661,132.940083,265.8801661,1329.40083,5.06974893,2.591205009,0.5633054366,88.761792
Bananas,790,0.6163111825,104.34794,0.09583322872,0.4791661436,0.9583322872,4.791661436,404,4.9,12,1.5,38.7166244,193.583122,387.166244,1935.83122,2.347914104,5.749993723,0.7187492154,208.69588
Oranges,560,0.4368788129,73.96816,0.1351933048,0.675966524,1.351933048,6.75966524,213,4.3,11,0.5,28.79617392,143.9808696,287.9617392,1439.808696,2.906656053,7.435631764,0.337983262,147.93632
Apples,822,0.6412756861,108.574692,0.09210249475,0.4605124738,0.9210249475,4.605124738,236,1.2,11,0.8,21.73618876,108.6809438,217.3618876,1086.809438,0.5526149685,5.065637211,0.368409979,217.149384
Cherries,1604,1.251345743,211.865944,0.04719965753,0.2359982877,0.4719965753,2.359982877,286,4.8,9.5,0.9,13.49910205,67.49551027,134.9910205,674.9551027,1.132791781,2.241983733,0.2123984589,423.731888
Peaches,910,0.709928071,120.19826,0.08319587987,0.4159793994,0.8319587987,4.159793994,191,4.1,6.8,1.2,15.89041306,79.45206528,158.9041306,794.5206528,1.705515537,2.828659916,0.4991752792,240.39652
Strawberries,347,0.2707088359,45.833842,0.2181793968,1.090896984,2.181793968,10.90896984,141,2.9,8.2,1,30.76329495,153.8164747,307.6329495,1538.164747,3.163601253,8.945355268,1.090896984,91.667684
Blueberries,845,0.6592189231,111.61267,0.08959556294,0.4479778147,0.8959556294,4.479778147,259,3.4,11,1.5,23.2052508,116.026254,232.052508,1160.26254,1.52312457,4.927755962,0.6719667221,223.22534
Watermelons,235,0.1833330733,31.04021,0.3221627689,1.610813844,3.221627689,16.10813844,136,2.8,1.8,0.7,43.81413657,219.0706828,438.1413657,2190.706828,4.510278764,2.89946492,1.127569691,62.08042
Figs,3350,2.61347147,442.4881,0.02259947782,0.1129973891,0.2259947782,1.129973891,336,3.4,13,1.4,7.593424546,37.96712273,75.93424546,379.6712273,0.3841911229,1.468966058,0.1581963447,884.9762
Mangoes,1800,1.404253327,237.7548,0.04206013927,0.2103006963,0.4206013927,2.103006963,272,3.7,7.3,1.7,11.44035788,57.20178941,114.4035788,572.0178941,0.7781125765,1.535195083,0.3575111838,475.5096
Avocados,1981,1.545458801,261.662366,0.03821718863,0.1910859432,0.3821718863,1.910859432,726,9.1,30,66,27.74567895,138.7283947,277.4567895,1387.283947,1.738882083,5.732578295,12.61167225,523.324732
Dates,2277,1.776380459,300.759822,0.03324912195,0.1662456098,0.3324912195,1.662456098,1279,11,36,1.8,42.52562698,212.6281349,425.2562698,2126.281349,1.828701707,5.984841951,0.2992420976,601.519644
Chocolate,17196,13.41530012,2271.350856,0.004402666358,0.02201333179,0.04402666358,0.2201333179,2712,35,49,193,11.94003116,59.70015581,119.4003116,597.0015581,0.7704666126,1.078653258,4.248573035,4542.701712
Beef,15415,12.02586947,2036.10569,0.004911336405,0.02455668203,0.04911336405,0.2455668203,898,88,0,58,4.410380092,22.05190046,44.10380092,220.5190046,2.160988018,0,1.424287557,4072.21138
Sheep meat,8763,6.836373282,1157.469618,0.008639535625,0.04319767813,0.08639535625,0.4319767813,830,59,1.4,50,7.170814569,35.85407285,71.70814569,358.5407285,2.548663009,0.06047674938,2.159883906,2314.939236
Pig meat,5988,4.671482735,790.930968,0.01264332844,0.06321664219,0.1264332844,0.6321664219,1193,77,0,96,15.08349083,75.41745413,150.8349083,754.1745413,4.867681449,0,6.06879765,1581.861936
Chicken meat,4325,3.374108689,571.27195,0.01750479785,0.08752398923,0.1750479785,0.8752398923,649,79,0,37,11.3606138,56.80306901,113.606138,568.0306901,6.914395149,0,3.238387602,1142.5439
Egg,3265,2.547159508,431.26079,0.02318782563,0.1159391282,0.2318782563,1.159391282,1425,649,0,43,33.04265152,165.2132576,330.4265152,1652.132576,75.24449417,0,4.985382511,862.52158
Milk,1020,0.7957435521,134.72772,0.07422377518,0.3711188759,0.7422377518,3.711188759,272,15,0,15,20.18886685,100.9443342,201.8886685,1009.443342,5.566783139,0,5.566783139,269.45544
Butter,5553,4.332121515,733.473558,0.01363375665,0.06816878326,0.1363375665,0.6816878326,3252,3.9,0,368,44.33697663,221.6848832,443.3697663,2216.848832,0.2658582547,0,25.08611224,1466.947116
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Total Water Footprint of all Chosen Foods,128182,m^3/ton,,,,,,,,,,,,,,,,,
Conversion,264.172,gal/m^3,,,,,,,,,,,,,,,,,
Conversion,0.0005,ton/lbs,,,,,,,,,,,,,,,,,
Conversion,0.4535970244,kg/lbs,,,,,,,,,,,,,,,,,
Conversion - 0.5 gal water per person (per day),2,person/gal of water,,,,,,,,,,,,,,,,,